Feature,Coefficient,StdError,t-value,p-value,Sig_p05
const,66.81697019047964,29.990572388192586,2.2279324757664765,0.026771684834008144,True
jumlah_tempat_tidur,-0.10171307149011012,0.04418931566664846,-2.301757109284163,0.022168275709710975,True
jumlah_jenis_layanan,-0.3603850508387786,0.6090908045020782,-0.5916770507369381,0.5545993899881858,False
jumlah_tenaga_kerja,0.007487045576721609,0.012391505909462223,0.604207884935475,0.5462511671990326,False
tingkat_keterisian_tempat_tidur_persen,-0.04574255294036912,0.09834956671056846,-0.46510172307097425,0.6422618564650338,False
kunjungan_pasien_per_bulan,0.005937359075805709,0.00266035225606594,2.231794328088612,0.026511740253918094,True
rasio_adopsi_telemedicine,-18.2518065966622,17.31704346556077,-1.0539793719961748,0.29290587687371306,False
digital_gap_score,-0.3267765463112962,0.15181103509022795,-2.1525216932819053,0.03230983398723138,True
jumlah_perangkat_iot,0.021245569774454923,0.09504349542713898,0.22353523172705625,0.8233007903598119,False
jumlah_staf_it,0.18073861706584127,0.6249418027767991,0.2892087171361665,0.7726603926872185,False
anggaran_it_tahunan_juta_rupiah,-0.03736093014260951,0.04890823743991545,-0.7638985189050823,0.4456451929863967,False
status_implementasi_rme_enc,-7.586455053097595,6.615254163755957,-1.1468123318167742,0.25255121663533237,False
status_terhubung_satusehat_enc,9.114349263081344,5.18466173586164,1.757944824064135,0.07997577849665823,False
kelas_rumah_sakit_B,-1.7958910421624479,11.694846637204694,-0.15356259879879042,0.8780780168061966,False
kelas_rumah_sakit_C,-7.637169322181279,17.88040141841018,-0.42712516030640274,0.6696543281196643,False
kelas_rumah_sakit_D,-9.558378190483305,21.693853051658195,-0.4406030670403522,0.6598796058106382,False
kepemilikan_BUMN,-6.600564281077839,6.5022773128362115,-1.0151157761370155,0.31102814391333583,False
kepemilikan_Pemerintah Pusat,-1.8905904186797589,4.746884572352484,-0.3982802593707921,0.6907621783393054,False
kepemilikan_Swasta,2.4519728085844696,2.839378936464128,0.8635595542023375,0.3886543225575747,False
kepemilikan_TNI/POLRI,5.6119265991277505,4.348070178784793,1.2906706581024372,0.1980054935537149,False
region_Bali & Nusa Tenggara,-2.607223427967396,5.6970694595620195,-0.4576429068442207,0.6476049060527458,False
region_Kalimantan,-1.3984801711228416,4.754144749910828,-0.294160200138852,0.7688786056138663,False
region_Maluku & Papua,1.8271064655497096,5.561264877159046,0.32854152893416594,0.7427761783376461,False
region_Sulawesi,-2.918634423793131,4.870565829577849,-0.5992392929110868,0.5495538085461664,False
region_Sumatera,-4.453959207483667,4.1071685638723645,-1.084435454308293,0.2792122900744903,False
